Time_Seconds,Best_Fitness
18000.05,43714.0
18005.98,43714.0
18011.95,43714.0
18017.86,43714.0
18023.85,43714.0
18029.86,43714.0
18035.78,43714.0
18041.78,43714.0
18047.74,43714.0
18053.7,43714.0
18059.67,43714.0
18065.55,43714.0
18071.5,43714.0
18077.46,43714.0
18083.4,43714.0
18089.35,43714.0
18095.3,43714.0
18101.18,43714.0
18107.14,43714.0
18113.11,43714.0
18119.04,43714.0
18125.06,43714.0
18131.04,43714.0
18136.96,43714.0
18142.84,43714.0
18148.84,43714.0
18154.84,43714.0
18160.76,43714.0
18166.7,43714.0
18172.61,43714.0
18178.53,43714.0
18184.49,43714.0
18190.46,43714.0
18196.37,43714.0
18202.45,43714.0
18208.39,43714.0
18214.36,43714.0
18220.34,43714.0
18226.28,43714.0
18232.2,43714.0
18238.17,43714.0
18244.1,43714.0
18249.97,43714.0
18255.92,43714.0
18261.88,43714.0
18267.83,43714.0
18273.82,43714.0
18279.83,43714.0
18285.76,43714.0
18291.7,43714.0
18297.62,43714.0
18303.51,43714.0
18309.47,43714.0
18315.42,43714.0
18321.41,43714.0
18327.35,43714.0
18333.25,43714.0
18339.21,43714.0
18345.14,43714.0
18351.06,43714.0
18357.06,43714.0
18363.02,43714.0
18368.92,43714.0
18374.9,43714.0
18380.82,43714.0
18386.71,43714.0
18392.58,43714.0
18398.58,43714.0
18404.54,43714.0
18410.5,43714.0
18416.44,43714.0
18422.42,43714.0
18428.39,43714.0
18434.41,43714.0
18440.32,43714.0
18446.3,43714.0
18452.29,43714.0
18458.23,43714.0
18464.12,43714.0
18470.05,43714.0
18475.98,43714.0
18481.95,43714.0
18487.89,43714.0
18493.87,43714.0
18499.76,43714.0
18505.84,43714.0
18511.77,43714.0
18517.68,43714.0
18523.64,43714.0
18529.59,43714.0
18535.53,43714.0
18541.49,43714.0
18547.42,43714.0
18553.35,43714.0
18559.3,43714.0
18565.25,43714.0
18571.14,43714.0
18577.16,43714.0
18583.13,43714.0
18589.08,43714.0
18595.11,43714.0
18601.06,43714.0
18607.04,43714.0
18612.92,43714.0
18618.91,43714.0
18624.84,43714.0
18630.8,43714.0
18636.77,43714.0
18642.68,43714.0
18648.64,43714.0
18654.57,43714.0
18660.5,43714.0
18666.48,43714.0
18672.4,43714.0
18678.34,43714.0
18684.33,43714.0
18690.28,43714.0
18696.22,43714.0
18702.2,43714.0
18708.24,43714.0
18714.16,43714.0
18720.11,43714.0
18726.0,43714.0
18731.93,43714.0
18737.89,43714.0
18743.87,43714.0
18749.87,43714.0
18755.97,43714.0
18762.02,43714.0
18767.97,43714.0
18773.96,43714.0
18779.89,43714.0
18785.81,43714.0
18791.89,43714.0
18797.81,43714.0
18803.76,43714.0
18809.83,43714.0
18815.7,43714.0
18821.63,43714.0
18827.6,43714.0
18833.52,43714.0
18839.46,43714.0
18845.44,43714.0
18851.4,43714.0
18857.33,43714.0
18863.3,43714.0
18869.18,43714.0
18875.07,43714.0
18881.0,43714.0
18886.96,43714.0
18892.9,43714.0
18898.83,43714.0
18904.8,43714.0
18910.72,43714.0
18916.63,43714.0
18922.51,43714.0
18928.45,43714.0
18934.41,43714.0
18940.35,43714.0
18946.26,43714.0
18952.36,43714.0
18958.32,43714.0
18964.26,43714.0
18970.34,43714.0
18976.25,43714.0
18982.28,43714.0
18988.26,43714.0
18994.19,43714.0
19000.05,43714.0
19006.04,43714.0
19012.04,43714.0
19017.99,43714.0
19023.95,43714.0
19029.94,43714.0
19035.88,43714.0
19041.89,43714.0
19047.89,43714.0
19053.83,43714.0
19059.86,43714.0
19065.85,43714.0
19071.83,43714.0
19077.82,43714.0
19083.82,43714.0
19089.74,43714.0
19095.76,43714.0
19101.69,43714.0
19107.62,43714.0
19113.63,43714.0
19119.51,43714.0
19125.45,43714.0
19131.4,43714.0
19137.32,43714.0
19143.24,43714.0
19149.26,43714.0
19155.17,43714.0
19161.16,43714.0
19167.1,43714.0
19173.03,43714.0
19178.96,43714.0
19185.06,43714.0
19190.99,43714.0
19196.86,43714.0
19202.83,43714.0
19208.79,43714.0
19214.7,43714.0
19220.66,43714.0
19226.66,43714.0
19232.58,43714.0
19238.57,43714.0
19244.46,43714.0
19250.4,43714.0
19256.36,43714.0
19262.36,43714.0
19268.27,43714.0
19274.2,43714.0
19280.13,43714.0
19286.04,43714.0
19291.98,43714.0
19297.89,43714.0
19303.81,43714.0
19309.76,43714.0
19315.67,43714.0
19321.65,43714.0
19327.71,43714.0
19333.56,43714.0
19339.49,43714.0
19345.5,43714.0
19351.46,43714.0
19357.34,43714.0
19363.31,43714.0
19369.26,43714.0
19375.16,43714.0
19381.17,43714.0
19387.1,43714.0
19393.01,43714.0
19399.04,43714.0
19405.02,43714.0
19410.96,43714.0
19416.94,43714.0
19422.92,43714.0
19428.87,43714.0
19434.85,43714.0
19440.82,43714.0
19446.73,43714.0
19452.86,43714.0
19458.82,43714.0
19464.77,43714.0
19470.77,43714.0
19476.71,43714.0
19482.62,43714.0
19488.59,43714.0
19494.48,43714.0
19500.4,43714.0
19506.37,43714.0
19512.34,43714.0
19518.29,43714.0
19524.25,43714.0
19530.18,43714.0
19536.08,43714.0
19542.07,43714.0
19548.04,43714.0
19553.93,43714.0
19559.9,43714.0
19565.71,43714.0
19571.66,43714.0
19577.63,43714.0
19583.62,43714.0
19589.5,43714.0
19595.42,43714.0
19601.29,43714.0
19607.34,43714.0
19613.27,43714.0
19619.19,43714.0
19625.15,43714.0
19631.14,43714.0
19637.14,43714.0
19643.11,43714.0
19649.06,43714.0
19655.0,43714.0
19660.92,43714.0
19666.88,43714.0
19672.82,43714.0
19678.76,43714.0
19684.76,43714.0
19690.73,43714.0
19696.63,43714.0
19702.6,43714.0
19708.61,43714.0
19714.51,43714.0
19720.47,43714.0
19726.38,43714.0
19732.29,43714.0
19738.27,43714.0
19744.2,43714.0
19750.11,43714.0
19756.09,43714.0
19762.07,43714.0
19768.05,43714.0
19773.95,43714.0
19779.91,43714.0
19785.8,43714.0
19791.8,43714.0
19797.76,43714.0
19803.64,43714.0
19809.6,43714.0
19815.5,43714.0
19821.38,43714.0
19827.36,43714.0
19833.35,43714.0
19839.3,43714.0
19845.26,43714.0
19851.22,43714.0
19857.19,43714.0
19863.15,43714.0
19869.09,43714.0
19875.1,43714.0
19881.16,43714.0
19887.13,43714.0
19893.06,43714.0
19899.13,43714.0
19905.09,43714.0
19911.1,43714.0
19917.08,43714.0
19923.03,43714.0
19929.01,43714.0
19935.05,43714.0
19941.05,43714.0
19947.13,43714.0
19953.14,43714.0
19959.01,43714.0
19964.94,43714.0
19970.94,43714.0
19976.88,43714.0
19982.88,43714.0
19988.82,43714.0
19994.76,43714.0
20000.71,43714.0
20006.68,43714.0
20012.61,43714.0
20018.52,43714.0
20024.47,43714.0
20030.47,43714.0
20036.43,43714.0
20042.38,43714.0
20048.44,43714.0
20054.33,43714.0
20060.35,43714.0
20066.36,43714.0
20072.26,43714.0
20078.19,43714.0
20084.07,43714.0
20089.97,43714.0
20095.92,43714.0
20101.88,43714.0
20107.81,43714.0
20113.71,43714.0
20119.66,43714.0
20125.67,43714.0
20131.6,43714.0
20137.52,43714.0
20143.52,43714.0
20149.45,43714.0
20155.48,43714.0
20161.47,43714.0
20167.5,43714.0
20173.48,43714.0
20179.37,43714.0
20185.36,43714.0
20191.32,43714.0
20197.25,43714.0
20203.28,43714.0
20209.34,43714.0
20215.25,43714.0
20221.15,43714.0
20227.08,43714.0
20232.98,43714.0
20238.95,43714.0
20244.87,43714.0
20250.83,43714.0
20256.81,43714.0
20262.76,43714.0
20268.79,43714.0
20274.65,43714.0
20280.57,43714.0
20286.47,43714.0
20292.43,43714.0
20298.37,43714.0
20304.34,43714.0
20310.32,43714.0
20316.31,43714.0
20322.19,43714.0
20328.11,43714.0
20334.05,43714.0
20339.95,43714.0
20345.88,43714.0
